time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst
2017-04-28T01:10:28.220Z,11.1131,-86.8096,34.7,4.5,mb,,154,1.21,0.86,us,us10008lh2,2017-04-28T01:44:06.040Z,"81km SSW of Masachapa, Nicaragua",earthquake,6.5,3.7,0.061,81
2017-04-27T23:39:10.120Z,51.3154,178.753,42.63,5,mb,,123,2.61,0.68,us,us10008lg1,2017-04-29T05:26:31.040Z,"72km SSE of Little Sitkin Island, Alaska",earthquake,8.4,5.6,0.027,448
2017-04-27T21:27:29.310Z,22.6711,60.8412,10,4.8,mb,,77,4.812,1.15,us,us10008lf3,2017-04-29T22:00:27.040Z,"135km E of Sur, Oman",earthquake,6.1,1.6,0.053,112
2017-04-27T18:46:42.410Z,-16.5095,-173.6705,33.32,5.5,mb,,27,3.165,0.88,us,us10008ld1,2017-04-28T15:18:17.040Z,"62km S of Hihifo, Tonga",earthquake,7.9,3.4,0.026,505
2017-04-27T14:46:33.600Z,51.2571,178.6165,19,5.7,mww,,125,2.707,1.29,us,us10008lai,2017-04-27T16:48:38.182Z,"77km S of Little Sitkin Island, Alaska",earthquake,8.1,1.8,0.051,37
2017-04-27T13:35:20.340Z,-55.8317,-30.2192,32.86,5.1,mb,,77,19.657,1.18,us,us10008lac,2017-04-27T13:52:19.040Z,"210km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12.6,5.4,0.087,43
2017-04-27T12:04:27.150Z,35.3519,21.4233,10,4.9,mb,,59,1.867,0.91,us,us10008l9j,2017-04-27T12:22:36.040Z,"164km S of Methoni, Greece",earthquake,7,1.9,0.049,133
2017-04-27T09:31:18.750Z,-10.4013,161.065,45.65,4.9,mb,,96,1.458,1.14,us,us10008l93,2017-04-27T09:52:50.040Z,"93km W of Kirakira, Solomon Islands",earthquake,10.3,7.9,0.056,98
2017-04-27T08:24:40.170Z,-33.2566,-71.9474,20.87,4.7,mwr,,68,0.349,0.68,us,us10008l8p,2017-04-27T17:58:51.593Z,"38km SW of Valparaiso, Chile",earthquake,4.5,4.7,0.039,62
2017-04-27T07:03:12.880Z,-8.8752,112.4672,71.21,4.6,mb,,116,1.713,1.36,us,us10008l8g,2017-04-27T08:45:20.040Z,"58km SSW of Krajan Tambakrejo, Indonesia",earthquake,8,4.1,0.136,16
2017-04-27T05:09:22.630Z,-33.2919,-71.9789,20.06,5,mwr,,69,0.392,0.79,us,us10008l82,2017-04-27T18:00:02.718Z,"43km SW of Valparaiso, Chile",earthquake,2.4,5.3,0.035,79
2017-04-27T03:45:54.490Z,8.4821,-39.5793,10,4.9,mb,,124,21.699,0.91,us,us10008l7j,2017-04-27T04:04:02.040Z,Central Mid-Atlantic Ridge,earthquake,9.6,1.8,0.048,138
2017-04-26T22:57:52.580Z,10.0526,57.4229,10,4.5,mb,,144,14.396,0.73,us,us10008l6c,2017-04-26T23:15:57.040Z,Carlsberg Ridge,earthquake,11.7,1.9,0.076,50
2017-04-26T22:28:31.470Z,-54.9267,-130.3338,10,5,mb,,88,31.379,1.11,us,us10008l61,2017-04-27T18:36:40.040Z,Pacific-Antarctic Ridge,earthquake,14.4,1.8,0.1,32
2017-04-26T22:25:19.790Z,-22.1451,-179.5842,574.18,4.7,mb,,110,4.909,0.78,us,us10008l5y,2017-04-26T22:43:01.040Z,"189km SSW of Ndoi Island, Fiji",earthquake,11.5,8.4,0.073,56
2017-04-26T18:12:32.580Z,-19.7143,-69.3219,108.39,5.4,mww,,84,0.128,1.09,us,us10008l3j,2017-04-27T18:27:48.185Z,"102km ENE of Iquique, Chile",earthquake,5.7,3.5,0.06,27
2017-04-26T17:31:13.810Z,-17.9432,-178.4681,568.32,5,mb,,74,3.319,0.93,us,us10008l2y,2017-04-26T21:12:54.040Z,"284km SE of Lambasa, Fiji",earthquake,10.4,5.1,0.027,433
